"cat","val_DK","sigmaBW"
101,21.7454706524666,13.1384661835749
102,5.31550208359956,5.04907407407407
103,2.31993188813411,5.09655172413793
104,4.41998504879833,5.00714285714286
105,15.0997480417776,15.8966666666667
107,5.60503269336956,13.4176470588235
108,9.51787829882363,5.26928571428571
11,2.25322710564324,7.91666666666667
12,0.978524922619819,5.74
139,6.21974755017626,2.91263066202091
14,3.72327811304348,3.3072
15,0.628760609089031,3.8411470685112
18,7.25379081686208,1.2
204,2.9160110414662,3.40571428571429
21,10.1634938106515,2.28412153572337
323,0.25617194809944,1.93076923076923
324,0.425322936299629,2.42857142857143
329,1.15812243908,1.58627450980392
