"nace","year","market_EU28"
1073,2016,41944095.861078
1081,2005,107918285.17911
1081,2006,104298021.9105
1081,2007,94574276.920845
1081,2008,92096392.159298
1081,2009,85177992.824044
1081,2010,79381772.08864
1081,2011,91377638.764936
1081,2012,108265085.581926
1081,2013,103876824.24105
1081,2014,87243243.933755
1081,2015,70401804.202312
1081,2016,74591948.431548
1082,2005,237783598.258416
1082,2006,241254527.1741
1082,2007,261551965.38255
1082,2008,268438706.893554
1082,2009,248761203.643827
1082,2010,252380814.874966
1082,2011,250811173.562131
1082,2012,252611439.129791
1082,2013,254382055.727436
1082,2014,259862386.273434
1082,2015,260656237.232688
1082,2016,262793359.557444
1083,2005,101999003.457127
1083,2006,107091633.8789
1083,2007,113805125.074026
1083,2008,112386147.806148
1083,2009,101478014.973068
1083,2010,106089739.45882
1083,2011,117126570.132059
1083,2012,122083091.769499
1083,2013,118458573.693684
1083,2014,115359701.638916
1083,2015,120909418.9776
1083,2016,125680657.866126
1084,2005,59332160.802803
1084,2006,66555445.8338
1084,2007,62126680.282785
1084,2008,73739791.627272
1084,2009,78644406.470361
1084,2010,76799442.612336
1084,2011,77790295.290861
1084,2012,78128151.520804
1084,2013,80654383.62891
1084,2014,79904304.880449
1084,2015,84070502.586664
1084,2016,82604766.70524
1085,2005,24668970.919705
1085,2006,24090737.3201
1085,2007,27732277.020078
1085,2008,157604564.81135
1085,2009,122837332.794034
1085,2010,128675783.379516
1085,2011,128909753.107726
1085,2012,138882216.020058
1085,2013,138120059.098266
1085,2014,146001519.950496
1085,2015,154238592.435356
1085,2016,152426365.019238
1086,2005,27667678.507994
1086,2006,30197957.4952
1086,2007,30966561.209178
1086,2008,34093432.759542
1086,2009,31139052.620593
1086,2010,32415047.778032
1086,2011,38317765.175311
1086,2012,42541297.496285
1086,2013,42910028.953722
1086,2014,42995293.26491
1086,2015,44769653.291396
1086,2016,53214451.452624
1089,2005,62408279.008768
1089,2006,61124370.6964
1089,2007,57929859.409995
1089,2008,161546135.642554
1089,2009,179972290.130767
1089,2010,192671915.443534
1089,2011,157827960.698753
1089,2012,216635634.22802
1089,2013,223100415.354348
1089,2014,189727966.757945
1089,2015,197531485.763612
1089,2016,223262466.353592
1090,2005,218002532.556186
1090,2006,225643100.7974
1090,2007,264776578.756452
1090,2008,316495516.272894
1090,2009,264704312.089919
1090,2010,284030385.138688
1090,2011,335117619.560573
1090,2012,366369826.855942
1090,2013,382594476.6
1090,2014,357827568
1090,2015,360249027.6
1090,2016,351415233.6
1091,2005,213861384.943381
1091,2006,212569327.3726
1091,2007,258969410.691624
1091,2008,310813967.157232
1091,2009,258426988.464401
1091,2010,277203533.673808
1091,2011,330640030.444269
1091,2012,362218044.960688
1091,2013,379104886.8222
1091,2014,361306240.885499
1091,2015,358367200.050112
1091,2016,344148979.12152
1092,2005,55408229.410121
1092,2006,57240849.9542
1092,2007,60628702.300929
1092,2008,64113204.652496
1092,2009,65376937.057346
1092,2010,69796177.941648
1092,2011,70459168.468615
1092,2012,74892658.154895
1092,2013,80440339.54551
1092,2014,80849662.950882
1092,2015,87452159.462888
1092,2016,87493927.930794
1099,2016,118929948.892956
1100,2013,75227336.913204
1100,2014,79476768.029358
1100,2015,78363240.585124
1100,2016,78774854.380422
1101,2005,88694973.857049
1101,2006,93062431.7942
1101,2007,93432703.496625
1101,2008,92130913.318918
1101,2009,85533216.227999
1101,2010,96976851.973946
1101,2011,106365219.758213
1101,2012,112186833.240027
1101,2013,117069069.609282
1101,2014,115599856.120231
1101,2015,124390558.28716
1101,2016,115825865.37552
1102,2005,161010761.206638
1102,2006,169473810.231
1102,2007,186758491.5864
1102,2008,186721746.31576
1102,2009,176282054.721434
1102,2010,167577546.522476
1102,2011,174777973.777985
1102,2012,189637484.319815
1102,2013,210792977.512614
1102,2014,192439069.69112
1102,2015,205574131.07836
1102,2016,211002281.260422
1103,2005,11923083.2
1103,2006,17901840
1103,2007,14901102
1103,2008,13420753.2
1103,2009,12177144.664089
1103,2010,14894732
1103,2011,15791426.017616
1103,2012,16996525.083328
1103,2013,17899156.8
1103,2014,18844593.767447
1103,2015,19494678.476416
1103,2016,19200449.82582
1104,2005,3579071.114976
1104,2006,3731668.3844
1104,2007,4681009.830627
1104,2008,4215428.756224
1104,2009,4467892.078769
1104,2010,4245348.646202
1104,2011,4519639.90198
1104,2012,4466250.6
1104,2013,4698528.66
1104,2014,3727370.5
1104,2015,3729286
1104,2016,4121490.180612
1105,2005,213254343.518034
1105,2006,225242666.473
1105,2007,231632355.599892
1105,2008,238997093.592482
1105,2009,228691933.916109
1105,2010,229733278.053208
1105,2011,230640654.421591
1105,2012,230383014.106105
1105,2013,224923608.550032
1105,2014,225288840.646821
1105,2015,235077959.587328
1105,2016,239698983.250482
1106,2005,15403841.042065
1106,2006,15007589.8544
1106,2007,17955373.426389
1106,2008,23106272.193272
1106,2009,21577418.512756
1106,2010,18265141.746424
1106,2011,20624993.959011
1106,2012,25277296.108274
1106,2013,25882568.547864
1106,2014,20931436.689282
1106,2015,24931962.547272
1106,2016,23392952.686476
1107,2005,276967350.617524
1107,2006,299471310.8541
1107,2007,307487257.243155
1107,2008,320702228.995512
1107,2009,308223918.613168
1107,2010,320141054.241632
1107,2011,324838586.632071
1107,2012,328485436.75402
1107,2013,345290053.367028
1107,2014,370158529.63551
1107,2015,339645624.937212
1107,2016,335303366.3061
1200,2005,127360720.414606
1200,2006,124007806.0276
1200,2007,125413329.400209
1200,2008,130797445.363438
1200,2009,108600681.689612
1200,2010,105719694.737012
1200,2011,99067389.350068
1200,2012,92353822.175643
1200,2013,87513362.888616
1200,2014,82221476.934961
1200,2015,83753983.1667
1200,2016,76631854.300692
1310,2005,72683584.658601
1310,2006,70189810.2587
1310,2007,65374643.683521
1310,2008,56006182.45879
1310,2009,45743518.739411
1310,2010,50781280.07054
1310,2011,56850680.393238
1310,2012,53408347.699924
1310,2013,53462096.48808
