"sigmaBW","cdf_EU","cdf_DK","cdf_DK_food","cdf_DK_cpg"
1,0,0,0,0
1.1,0.00542612490170885,0.00135899454625897,0,0.00336831394571067
1.2,0.0263396261135905,0.016387791463673,0,0.0226450221383015
1.275,0.0264412790621961,0.0164013033740576,0,0.0226450221383015
1.3,0.0724632227167891,0.116919592928953,0.0019124406087567,0.0382457985033609
1.4,0.0936260333613004,0.154461206197005,0.0019124406087567,0.0418463537638236
1.425,0.0936930795338473,0.154461206197005,0.0019124406087567,0.0418463537638236
1.45,0.094038579738998,0.154478422496305,0.0019124406087567,0.0418463537638236
1.45,0.0945378161702264,0.154959264322936,0.0019124406087567,0.0418463537638236
1.46666666666667,0.0945450428205086,0.154959264322936,0.0019124406087567,0.0418463537638236
1.5,0.131979627549154,0.211048843977121,0.00879113393517721,0.0502761702347851
1.51428571428571,0.13207280614879,0.211048843977121,0.00879113393517721,0.0502761702347851
1.525,0.132720563861571,0.212484810866807,0.00879113393517721,0.0502761702347851
1.55,0.132809530035524,0.212536793766983,0.00879113393517721,0.0502761702347851
1.6,0.154679956128257,0.230719786753512,0.00952341306408672,0.0538357097776717
1.61111111111111,0.154761329164482,0.231804018879388,0.0162800598690223,0.0586853430333242
1.64,0.154813814834398,0.231804018879388,0.0162800598690223,0.0586853430333242
1.65,0.156756773804006,0.235428125791453,0.0162800598690223,0.0586853430333242
1.675,0.157576374376997,0.23648193334608,0.0162800598690223,0.0586853430333242
1.7,0.185290001164661,0.283547196510879,0.028684906156632,0.0685451412604402
1.74736842105263,0.185663565998732,0.285427598978767,0.028684906156632,0.0769559438225915
1.75,0.186722302066646,0.28781146433674,0.028684906156632,0.0769573019589351
1.78125,0.186769465589971,0.28781146433674,0.028684906156632,0.0769573019589351
1.8,0.230380267307285,0.349466615060278,0.0286867983507636,0.0870323647965084
1.81818181818182,0.230804208649092,0.349466615060278,0.0286867983507636,0.0870323647965084
1.85,0.231946593873653,0.349466615060278,0.0286867983507636,0.0870323647965084
1.9,0.267558630891146,0.391747052665206,0.0565752799974266,0.107702520877611
1.944,0.267559015587555,0.3917510910564,0.0565752799974266,0.107702520877611
1.96666666666667,0.267584883343514,0.3917510910564,0.0565752799974266,0.107702520877611
2,0.292762156180719,0.416439021340529,0.0600342108698984,0.110411459628514
2.05,0.292772635054446,0.416439021340529,0.0600342108698984,0.110411459628514
2.1,0.310944168496666,0.437516417350665,0.0701971855504487,0.119528628902961
2.15,0.311033828662942,0.437516417350665,0.0701971855504487,0.119528628902961
2.2,0.342184259566699,0.47571410218654,0.102032216497284,0.147076659055218
2.23333333333333,0.342234680699218,0.475732381220364,0.102032216497284,0.147076659055218
2.3,0.368201158476716,0.492494771422048,0.102032216497284,0.157330860076509
2.33333333333333,0.368912437773541,0.493682969348277,0.102032216497284,0.157330860076509
2.35454545454545,0.368953764170015,0.493682969348277,0.102032216497284,0.157330860076509
2.36,0.369078187299091,0.493682969348277,0.102032216497284,0.157330860076509
2.37142857142857,0.369590722172263,0.493860658560796,0.102032216497284,0.157330860076509
2.4,0.403997717435144,0.577818629292905,0.102032216497284,0.162352705020528
2.41818181818182,0.405696689118713,0.578312193569989,0.102032216497284,0.162352705020528
2.45,0.409858197666926,0.57834878200148,0.102032216497284,0.162352705020528
2.46666666666667,0.411238399647118,0.578608149953177,0.102032216497284,0.162352705020528
2.5,0.500898948310852,0.603950846159856,0.122516353287782,0.183976001187554
2.56666666666667,0.501061984700859,0.603950846159856,0.122516353287782,0.183976001187554
2.6,0.545235524429232,0.609920529623163,0.122516353287782,0.183986323023766
2.62,0.545526139484729,0.611848147867789,0.122516353287782,0.183986323023766
2.63333333333333,0.548283583334476,0.619845225165663,0.122516353287782,0.183986323023766
2.65,0.54857573717561,0.620222829924187,0.122516353287782,0.183986323023766
2.7,0.584289756954764,0.63415336662,0.124430118432431,0.191933865279122
2.8,0.645518357794467,0.682213531482918,0.124447148179615,0.262724277542767
2.825,0.645753270348673,0.682213531482918,0.124447148179615,0.262724277542767
2.9,0.655790307169881,0.695293212554466,0.139118275378581,0.28749912909507
2.95,0.655823334126018,0.695293212554466,0.139118275378581,0.28749912909507
3,0.658996334218169,0.698016150953484,0.139143252341117,0.296730925076915
3.05,0.658999871373422,0.698028417946283,0.139219696984032,0.296785793785195
3.08,0.659086614515057,0.698028417946283,0.139219696984032,0.296785793785195
3.1,0.669204727130397,0.706560688350763,0.143203711728008,0.299657437270059
3.15,0.671766027360683,0.706830562192333,0.143203711728008,0.299657437270059
3.18333333333333,0.674069814122712,0.706870095916649,0.143203711728008,0.299657437270059
3.2,0.68950942729609,0.724030981201228,0.143203711728008,0.301330661245349
3.275,0.689526277255285,0.724065110161391,0.143416394348395,0.301483315770367
3.28,0.689810381708749,0.724393343310285,0.143416394348395,0.301483315770367
3.3,0.701628821934271,0.735892191594517,0.143416394348395,0.317189211888419
3.33333333333333,0.701673821412061,0.735892191594517,0.143416394348395,0.317189211888419
3.35,0.702273801626047,0.736446787197158,0.143416394348395,0.319591755080211
3.36666666666667,0.702282728890923,0.736446787197158,0.143416394348395,0.319591755080211
3.4,0.711336366024386,0.739017572376093,0.14519562449029,0.320868810684078
3.44285714285714,0.711515435278414,0.739017572376093,0.14519562449029,0.320868810684078
3.45,0.711533286987059,0.739017572376093,0.14519562449029,0.320868810684078
3.48,0.712702475549246,0.739017572376093,0.14519562449029,0.320868810684078
3.5,0.722048615058791,0.749276604200042,0.184912211653267,0.349375685094902
3.54285714285714,0.72422834338394,0.751681329518541,0.184912211653267,0.349375685094902
