kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M01	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M02	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M03	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M04	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M05	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M06	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M07	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M08	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M09	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M10	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M11	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1995M12	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M01	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M02	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M03	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M04	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M05	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M06	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M07	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M08	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M09	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M10	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M11	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1996M12	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M01	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M02	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M03	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M04	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M05	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M06	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M07	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M08	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M09	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M10	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M11	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1997M12	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M01	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M02	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M03	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M04	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M05	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M06	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M07	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M08	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M09	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M10	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M11	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1998M12	..
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M01	744.1230
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M02	743.5225
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M03	743.2535
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M04	743.2900
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M05	743.3242
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M06	743.1477
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M07	743.8741
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M08	743.7654
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M09	743.3878
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M10	743.3428
