kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M11	743.6536
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	1999M12	744.0455
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M01	744.3986
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M02	744.5281
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M03	744.7404
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M04	745.0247
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M05	745.6823
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M06	746.0100
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M07	745.8795
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M08	745.7756
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M09	746.2310
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M10	744.7332
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M11	745.6714
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2000M12	745.7795
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M01	746.4373
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M02	746.3120
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M03	746.4391
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M04	746.3239
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M05	746.1628
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M06	745.3726
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M07	744.4891
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M08	744.5174
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M09	744.1375
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M10	743.6691
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M11	744.5273
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2001M12	744.3267
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M01	743.2873
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M02	742.9885
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M03	743.2316
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M04	743.4100
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M05	743.5381
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M06	743.2984
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M07	743.0096
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M08	742.6978
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M09	742.7095
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M10	742.9705
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M11	742.7952
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2002M12	742.6226
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M01	743.2432
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M02	743.1660
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M03	742.7391
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M04	742.5552
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M05	742.4625
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M06	742.5048
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M07	743.3178
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M08	743.2195
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M09	742.7286
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M10	743.0109
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M11	743.7040
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2003M12	744.1695
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M01	744.8110
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M02	745.1120
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M03	744.9304
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M04	744.3458
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M05	744.0573
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M06	743.4218
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M07	743.5486
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M08	743.6495
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M09	743.8087
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M10	743.7852
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M11	743.1332
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2004M12	743.3219
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M01	744.0486
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M02	744.2675
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M03	744.6425
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M04	744.9925
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M05	744.4360
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M06	744.4846
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M07	745.8424
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M08	745.9631
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M09	745.8427
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M10	746.1962
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M11	745.9604
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2005M12	745.4138
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M01	746.1250
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M02	746.4095
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M03	746.1165
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M04	746.1729
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M05	745.6557
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M06	745.6472
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M07	746.0162
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M08	746.0926
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M09	746.0109
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M10	745.5532
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M11	745.6427
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2006M12	745.4942
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M01	603.6159
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M02	592.8400
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M03	563.0391
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M04	542.7059
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M05	550.0462
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M06	546.8953
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M07	541.1476
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M08	559.9413
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M09	566.7429
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M10	549.2477
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M11	548.8614
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1995M12	558.0105
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M01	565.2455
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M02	567.2119
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M03	570.7786
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M04	581.3947
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M05	591.6400
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M06	588.8342
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M07	580.1978
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M08	573.0045
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M09	579.9095
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M10	585.8544
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M11	580.4000
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1996M12	593.9342
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M01	611.7114
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M02	638.2450
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M03	647.6028
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M04	651.4405
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M05	648.6200
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M06	657.4175
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M07	682.0391
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M08	701.7738
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M09	681.3568
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M10	669.0239
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M11	659.4450
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1997M12	677.1550
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M01	691.5786
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M02	691.3225
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M03	696.0409
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M04	691.6642
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M05	676.4605
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M06	682.9145
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M07	685.0061
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M08	681.0781
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M09	648.6791
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M10	622.8068
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M11	638.9600
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1998M12	634.7543
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M01	640.7685
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M02	663.4520
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M03	682.5239
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M04	694.1017
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M05	699.1395
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M06	715.8336
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M07	718.7045
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M08	701.2732
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M09	707.7550
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M10	693.7157
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M11	718.7123
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	1999M12	735.5232
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M01	733.5829
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M02	756.2347
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M03	771.5735
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M04	785.6453
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M05	820.9723
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M06	785.1079
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M07	793.2191
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M08	824.0387
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M09	856.5109
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M10	870.7214
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M11	870.6846
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2000M12	831.1300
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M01	795.0623
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M02	809.4930
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M03	820.6772
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M04	835.9222
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M05	852.5195
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M06	872.1895
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M07	865.7059
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M08	826.7722
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M09	817.0500
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M10	820.7869
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M11	838.0986
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2001M12	833.0589
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M01	841.6772
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M02	853.9955
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M03	848.4895
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M04	839.8095
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M05	811.3062
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M06	777.4747
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M07	748.9691
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M08	759.6177
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M09	757.3024
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M10	757.2957
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M11	741.8209
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2002M12	729.9358
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M01	699.8709
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M02	689.8600
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M03	687.4709
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M04	684.8900
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M05	642.6580
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M06	637.2269
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M07	653.7039
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M08	667.4381
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M09	662.1655
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M10	635.5121
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M11	635.6920
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2003M12	607.0300
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M01	590.5533
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M02	589.2490
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M03	607.5635
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M04	621.4294
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M05	620.2361
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M06	612.4932
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M07	606.2568
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M08	610.8087
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M09	608.8218
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M10	595.6509
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M11	572.1096
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2004M12	555.1314
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M01	567.1971
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M02	571.9635
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M03	563.7055
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M04	576.1490
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M05	586.9740
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M06	612.0250
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2005M07	619.6490
