kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M05	743.3748
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M06	743.2590
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M07	743.8377
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M08	744.5439
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M09	745.3895
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M10	745.8204
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M11	745.8650
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2012M12	746.0306
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M01	746.1427
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M02	745.9810
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M03	745.5316
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M04	745.5300
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M05	745.3690
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M06	745.7800
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M07	745.7926
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M08	745.8000
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M09	745.7938
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M10	745.9178
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M11	745.8657
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2013M12	746.0283
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M01	746.1423
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M02	746.2240
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M03	746.3843
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M04	746.5600
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M05	746.4105
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M06	745.8453
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M07	745.6448
